teamNum,event,district
1094,Iowa Regional,Others
1156,Iowa Regional,Others
167,Iowa Regional,Others
1710,Iowa Regional,Others
1982,Iowa Regional,Others
1985,Iowa Regional,Others
2410,Iowa Regional,Others
2526,Iowa Regional,Others
2530,Iowa Regional,Others
2549,Iowa Regional,Others
2874,Iowa Regional,Others
2957,Iowa Regional,Others
2987,Iowa Regional,Others
3026,Iowa Regional,Others
3206,Iowa Regional,Others
3633,Iowa Regional,Others
3928,Iowa Regional,Others
4021,Iowa Regional,Others
4054,Iowa Regional,Others
4260,Iowa Regional,Others
4329,Iowa Regional,Others
4500,Iowa Regional,Others
4506,Iowa Regional,Others
4646,Iowa Regional,Others
4818,Iowa Regional,Others
4959,Iowa Regional,Others
5006,Iowa Regional,Others
5041,Iowa Regional,Others
525,Iowa Regional,Others
5576,Iowa Regional,Others
5690,Iowa Regional,Others
5837,Iowa Regional,Others
5906,Iowa Regional,Others
5914,Iowa Regional,Others
5935,Iowa Regional,Others
5991,Iowa Regional,Others
6025,Iowa Regional,Others
6164,Iowa Regional,Others
6317,Iowa Regional,Others
6320,Iowa Regional,Others
6359,Iowa Regional,Others
6371,Iowa Regional,Others
6379,Iowa Regional,Others
6391,Iowa Regional,Others
6412,Iowa Regional,Others
6419,Iowa Regional,Others
6420,Iowa Regional,Others
6424,Iowa Regional,Others
6455,Iowa Regional,Others
6467,Iowa Regional,Others
6536,Iowa Regional,Others
6630,Iowa Regional,Others
6889,Iowa Regional,Others
6950,Iowa Regional,Others
6999,Iowa Regional,Others
7122,Iowa Regional,Others
7141,Iowa Regional,Others
7142,Iowa Regional,Others
7309,Iowa Regional,Others
931,Iowa Regional,Others
967,Iowa Regional,Others
1051,Palmetto Regional,Others
125,Palmetto Regional,New England
1287,Palmetto Regional,Others
1319,Palmetto Regional,Others
1369,Palmetto Regional,Others
1398,Palmetto Regional,Others
1539,Palmetto Regional,Others
1553,Palmetto Regional,Others
1758,Palmetto Regional,Others
1876,Palmetto Regional,Others
1923,Palmetto Regional,Mid-Atlantic
2152,Palmetto Regional,Others
2187,Palmetto Regional,Others
2383,Palmetto Regional,Others
2393,Palmetto Regional,Others
2614,Palmetto Regional,Others
263,Palmetto Regional,Others
281,Palmetto Regional,Others
