teamNum,District
1,Michigan
4,Others
8,Others
11,Mid-Atlantic
16,Others
20,Others
21,Others
23,New England
25,Mid-Atlantic
27,Michigan
28,Others
31,Others
33,Michigan
34,Others
41,Mid-Atlantic
45,Indiana
48,Others
51,Michigan
56,Mid-Atlantic
58,New England
59,Others
60,Others
61,New England
63,Others
66,Michigan
67,Michigan
68,Michigan
69,New England
70,Michigan
71,Indiana
74,Michigan
75,Mid-Atlantic
78,New England
79,Others
81,Others
85,Michigan
86,Others
87,Mid-Atlantic
88,New England
93,Others
94,Michigan
95,New England
97,New England
100,Others
101,Others
102,Mid-Atlantic
103,Mid-Atlantic
107,Michigan
108,Others
111,Others
114,Others
115,Others
116,Chesapeake
117,Others
118,Others
120,Others
121,New England
122,Chesapeake
123,Michigan
125,New England
126,New England
128,Others
131,New England
133,New England
135,Indiana
136,Mid-Atlantic
138,New England
141,Michigan
144,Others
145,Others
148,Others
151,New England
155,New England
156,Others
157,New England
159,Others
166,New England
167,Others
171,Others
172,New England
173,New England
174,Others
175,New England
176,New England
177,New England
178,New England
179,Others
180,Others
181,New England
188,Ontario
190,New England
191,Others
192,Others
193,Mid-Atlantic
195,New England
199,Others
201,Michigan
203,Mid-Atlantic
204,Mid-Atlantic
207,Others
213,New England
216,Michigan
217,Michigan
219,Mid-Atlantic
222,Mid-Atlantic
223,Mid-Atlantic
224,Mid-Atlantic
225,Mid-Atlantic
226,Michigan
228,New England
229,Others
230,New England
231,Others
233,Others
234,Indiana
236,New England
237,New England
238,New England
240,Michigan
244,Michigan
245,Michigan
246,New England
247,Michigan
250,Others
253,Others
254,Others
256,Others
263,Others
269,Others
271,Others
272,Mid-Atlantic
279,Others
280,Michigan
281,Others
283,Others
287,Others
288,Michigan
291,Others
292,Indiana
293,Mid-Atlantic
294,Others
295,Others
296,Others
299,Others
302,Michigan
303,Mid-Atlantic
308,Michigan
313,Michigan
314,Michigan
316,Mid-Atlantic
319,New England
321,Mid-Atlantic
322,Michigan
323,Others
329,Others
330,Others
333,Others
334,Others
335,Others
337,Others
339,Chesapeake
340,Others
341,Mid-Atlantic
342,Others
343,Others
346,Chesapeake
348,New England
352,Others
353,Others
354,Others
358,Others
359,Others
360,Pacific Northwest
364,Others
365,Mid-Atlantic
368,Others
369,Others
371,Others
378,Others
379,Others
383,Others
384,Chesapeake
386,Others
395,Others
399,Others
401,Chesapeake
418,Others
422,Chesapeake
423,Mid-Atlantic
433,Mid-Atlantic
435,North Carolina
441,Others
442,Others
447,Indiana
449,Chesapeake
451,Others
453,Michigan
456,Others
457,Others
461,Indiana
467,New England
468,Michigan
469,Michigan
470,Michigan
484,Mid-Atlantic
486,Mid-Atlantic
488,Pacific Northwest
492,Pacific Northwest
494,Michigan
496,Others
498,Others
501,New England
503,Michigan
509,New England
514,Others
522,Others
525,Others
527,Others
533,Others
537,Others
538,Others
539,Chesapeake
540,Chesapeake
545,Others
547,Others
548,Michigan
554,Others
555,Mid-Atlantic
558,New England
564,Others
568,Pacific Northwest
569,Others
571,New England
573,Michigan
578,Others
580,Others
581,Others
585,Others
587,North Carolina
589,Others
590,Others
597,Others
599,Others
601,Others
604,Others
606,Others
610,Ontario
611,Chesapeake
612,Chesapeake
614,Chesapeake
617,Chesapeake
619,Chesapeake
620,Chesapeake
623,Chesapeake
624,Others
639,Others
640,Others
647,Others
648,Others
649,Others
653,Others
662,Others
663,New England
668,Others
670,Others
677,Others
686,Chesapeake
687,Others
691,Others
692,Others
694,Others
695,Others
696,Others
698,Others
701,Others
702,Others
703,Michigan
706,Others
708,Mid-Atlantic
709,Mid-Atlantic
714,Mid-Atlantic
716,New England
743,Others
744,Others
746,Ontario
747,Mid-Atlantic
751,Others
753,Pacific Northwest
766,Others
771,Ontario
772,Ontario
773,Ontario
781,Ontario
801,Others
806,Others
810,Others
811,New England
812,Others
815,Michigan
816,Mid-Atlantic
818,Michigan
829,Indiana
830,Michigan
832,Peachtree
834,Mid-Atlantic
835,Michigan
836,Chesapeake
839,New England
841,Others
842,Others
846,Others
847,Pacific Northwest
848,Others
852,Others
854,Ontario
857,Michigan
858,Michigan
862,Michigan
865,Ontario
867,Others
868,Indiana
870,Others
871,Others
876,Others
877,Others
884,Others
885,New England
888,Chesapeake
894,Michigan
900,North Carolina
904,Michigan
907,Ontario
910,Michigan
919,Ontario
930,Others
931,Others
932,Others
935,Others
937,Others
938,Others
945,Others
948,Pacific Northwest
949,Pacific Northwest
955,Pacific Northwest
957,Pacific Northwest
967,Others
968,Others
971,Others
972,Others
973,Others
977,Chesapeake
980,Others
981,Others
987,Others
988,Others
991,Others
996,Others
997,Pacific Northwest
999,New England
1002,Peachtree
1011,Others
1014,Others
1018,Indiana
1023,Michigan
1024,Indiana
1025,Michigan
1027,New England
1038,Others
1051,Others
1058,New England
1065,Others
1071,New England
1072,Others
1073,New England
1075,Ontario
1076,Michigan
1080,Chesapeake
1085,New England
1086,Chesapeake
1089,Mid-Atlantic
1091,Others
1094,Others
1099,New England
1100,New England
1102,Peachtree
1108,Others
1111,Chesapeake
1114,Ontario
1123,Chesapeake
1124,New England
1126,Others
1137,Chesapeake
1138,Others
1143,Mid-Atlantic
1153,New England
1155,Others
1156,Others
1157,Others
1159,Others
1160,Others
1164,Others
1165,Others
1168,Mid-Atlantic
1178,Others
1188,Michigan
1189,Michigan
1197,Others
1208,Others
1209,Others
1212,Others
1218,Mid-Atlantic
1225,North Carolina
1228,Mid-Atlantic
1230,Others
1241,Ontario
1243,Michigan
1245,Others
1246,Ontario
1247,New England
1248,Others
1250,Michigan
1251,Others
1254,Michigan
1255,Others
1257,Mid-Atlantic
1258,Pacific Northwest
1259,Others
1261,Peachtree
1262,Chesapeake
1266,Others
1277,New England
1279,Mid-Atlantic
1280,Others
1285,Ontario
1287,Others
1288,Others
1289,New England
1290,Others
1293,Others
1294,Pacific Northwest
1296,Others
1303,Others
1305,Ontario
1306,Others
1307,New England
1308,Others
1310,Ontario
1311,Peachtree
1317,Others
1318,Pacific Northwest
1319,Others
1322,Michigan
1323,Others
1325,Ontario
1329,Others
1332,Others
1334,Ontario
1339,Others
1350,New England
1351,Others
1359,Pacific Northwest
1360,Ontario
1369,Others
1370,Mid-Atlantic
1374,Ontario
1378,Others
1382,Others
1388,Others
1389,Chesapeake
1391,Mid-Atlantic
1398,Others
1403,Mid-Atlantic
1405,Others
1410,Others
1413,Chesapeake
1414,Peachtree
1418,Chesapeake
1421,Others
1422,Others
1425,Pacific Northwest
1432,Pacific Northwest
1444,Others
1446,Chesapeake
1448,Others
1450,Others
1452,Others
1458,Others
1466,Others
1468,Others
1474,New England
1477,Others
1481,Michigan
1482,Others
1492,Others
1493,Others
1495,Mid-Atlantic
1501,Indiana
1502,Michigan
1504,Michigan
1506,Michigan
1507,Others
1510,Pacific Northwest
1511,Others
1512,New England
1515,Others
1517,New England
1518,Others
1519,New England
1522,Chesapeake
1523,Others
1528,Michigan
1529,Indiana
1533,North Carolina
1538,Others
1539,Others
1540,Pacific Northwest
1546,Others
1551,Others
1553,Others
1554,Others
1555,Indiana
1557,Others
1559,Others
1561,Others
1566,Others
1569,Others
1571,Pacific Northwest
1572,Others
1573,Israel
1574,Israel
1576,Israel
1577,Israel
1580,Israel
1583,Others
1584,Others
1585,Others
1590,Others
1591,Others
1592,Others
1595,Pacific Northwest
1596,Michigan
1598,Chesapeake
1599,Chesapeake
1600,Others
1601,Others
1610,Chesapeake
1619,Others
1622,Others
1625,Others
1626,Mid-Atlantic
1629,Chesapeake
1633,Others
1635,Others
1640,Mid-Atlantic
1642,Others
1646,Indiana
1647,Mid-Atlantic
1648,Peachtree
1649,Others
1657,Israel
1658,Others
1660,Others
1661,Others
1662,Others
1665,Others
1671,Others
1672,Mid-Atlantic
1675,Others
1676,Mid-Atlantic
1677,Michigan
1678,Others
1683,Peachtree
1684,Michigan
1690,Israel
1699,New England
1700,Others
1701,Michigan
1706,Others
1708,Others
1710,Others
1711,Michigan
1712,Mid-Atlantic
1714,Others
1716,Others
1718,Michigan
1719,Chesapeake
1720,Indiana
1721,New England
1723,Others
1726,Others
1727,Chesapeake
1729,New England
1730,Others
1731,Chesapeake
1732,Others
1735,New England
1736,Others
1737,Others
1739,Others
1740,New England
1741,Indiana
1743,Others
1744,Others
1745,Others
1746,Peachtree
1747,Indiana
1750,Others
1751,Others
1756,Others
1757,New England
1758,Others
1759,Others
1761,New England
1763,Others
1764,Others
1768,New England
1769,Others
1771,Peachtree
1772,Others
1775,Others
1777,Others
1778,Pacific Northwest
1781,Others
1785,Others
1786,New England
1787,Others
1791,Mid-Atlantic
1792,Others
1793,Chesapeake
1795,Peachtree
1796,Others
1797,Others
1799,Others
1802,Others
1803,Others
1806,Others
1807,Mid-Atlantic
1810,Others
1811,Mid-Atlantic
1816,Others
1817,Others
1818,Others
1825,Others
1827,Others
1828,Others
1831,New England
1836,Others
1847,Others
1860,Others
1868,Others
1872,Others
1876,Others
1880,Others
1884,Others
1885,Chesapeake
1891,Others
1895,Chesapeake
1896,Michigan
1899,Pacific Northwest
1902,Others
1908,Chesapeake
1912,Others
1915,Chesapeake
1918,Michigan
1922,New England
1923,Mid-Atlantic
1927,Others
1937,Israel
1939,Others
1940,Michigan
1942,Israel
1943,Israel
1944,Israel
1954,Israel
1965,New England
1967,Others
1972,Others
1973,New England
1977,Others
1982,Others
1983,Pacific Northwest
1984,Others
1985,Others
1986,Others
1987,Others
1989,Mid-Atlantic
1991,New England
1994,Others
1997,Others
2001,Others
2010,Others
2013,Ontario
2016,Mid-Atlantic
2022,Others
2027,Others
2028,Chesapeake
2035,Others
2036,Others
2039,Others
2040,Others
2046,Pacific Northwest
2048,Michigan
2051,Others
2052,Others
2053,Others
2054,Michigan
2056,Ontario
2059,North Carolina
2062,Others
2064,New England
2067,New England
2068,Chesapeake
2070,Mid-Atlantic
2073,Others
2075,Michigan
2077,Others
2078,Others
2079,New England
2080,Others
2081,Others
2083,Others
2084,New England
2085,Others
2090,Others
2095,Mid-Atlantic
2096,Israel
2102,Others
2106,Chesapeake
2122,Others
2129,Others
2130,Others
2135,Others
2136,Others
2137,Michigan
2141,Others
2143,Others
2144,Others
2145,Michigan
2147,Pacific Northwest
2148,Pacific Northwest
2151,Others
2152,Others
2158,Others
2161,Others
2164,Others
2165,Others
2167,Others
2168,New England
2169,Others
2170,New England
2171,Indiana
2172,Others
2175,Others
2177,Others
2180,Mid-Atlantic
2181,Others
2183,Others
2186,Chesapeake
2187,Others
2190,Others
2191,Mid-Atlantic
2194,Others
2197,Indiana
2199,Chesapeake
2200,Ontario
2202,Others
2204,Others
2207,Others
2212,Israel
2220,Others
2221,Others
2224,Michigan
2225,Others
2227,Others
2228,Others
2230,Israel
2231,Israel
2232,Others
2234,Mid-Atlantic
2239,Others
2240,Others
2246,Michigan
2252,Others
2259,Others
2261,Others
2262,New England
2264,Others
2265,Others
2283,Others
2333,Others
2335,Others
2337,Michigan
2338,Others
2339,Others
2340,Others
2341,Others
2342,New England
2344,Others
2345,Others
2347,Others
2352,Others
2353,Others
2354,Others
2357,Others
2358,Others
2359,Others
2363,Chesapeake
2367,Others
2370,New England
2373,Others
2374,Pacific Northwest
2375,Others
2377,Chesapeake
2383,Others
2386,Ontario
2393,Others
2395,Others
2398,Others
2399,Others
2403,Others
2404,Others
2405,Michigan
2408,Others
2410,Others
2411,Pacific Northwest
2412,Pacific Northwest
2415,Peachtree
2421,Chesapeake
2423,New England
2424,Others
2425,Others
2429,Others
2437,Others
2438,Others
2439,Others
2441,Others
2443,Others
2444,Others
2445,Others
2449,Others
2450,Others
2451,Others
2457,Others
2458,Mid-Atlantic
2461,Others
2465,Others
2468,Others
2470,Others
2471,Pacific Northwest
2472,Others
2473,Others
2474,Michigan
2477,Others
2478,Others
2480,Others
2481,Others
2484,Others
2485,Others
2486,Others
2487,Others
2489,Others
2491,Others
2493,Others
2495,Mid-Atlantic
2496,Others
2498,Others
2499,Others
2500,Others
2501,Others
2502,Others
2503,Others
2506,Others
2508,Others
2509,Others
2511,Others
2512,Others
2513,Others
2515,Others
2518,Others
2521,Pacific Northwest
2522,Pacific Northwest
2523,New England
2525,Others
2526,Others
2529,Others
2530,Others
2531,Others
2532,Others
2534,Chesapeake
2537,Chesapeake
2538,Others
2539,Mid-Atlantic
2543,Others
2544,Others
2545,Others
2549,Others
2550,Pacific Northwest
2551,Others
2554,Mid-Atlantic
2556,Others
2557,Pacific Northwest
2559,Mid-Atlantic
2560,Others
2574,Others
2576,Others
2577,Mid-Atlantic
2579,Others
2582,Others
2583,Others
2584,Others
2585,Others
2586,Michigan
2587,Others
2590,Mid-Atlantic
2591,Michigan
2594,Others
2600,Mid-Atlantic
2601,Others
2603,Others
2604,Michigan
2605,Pacific Northwest
2606,Others
2607,Mid-Atlantic
2609,Ontario
2611,Michigan
2612,Michigan
2613,Others
2614,Others
2619,Michigan
2620,Michigan
2626,Others
2630,Israel
2634,Ontario
2635,Pacific Northwest
2637,Others
2638,Others
2640,North Carolina
2641,Others
2642,North Carolina
2643,Others
2647,Others
2648,New England
2654,Others
2655,North Carolina
2656,Others
2657,Others
2658,Others
2659,Others
2662,Others
2667,Others
2673,Michigan
2676,Michigan
2679,Israel
2682,North Carolina
2702,Ontario
2704,Others
2706,Ontario
2707,Others
2708,Ontario
2709,Others
2710,Others
2713,New England
2721,Others
2723,Others
2725,Others
2729,Mid-Atlantic
2733,Pacific Northwest
2765,Others
2767,Michigan
2771,Michigan
2773,Others
2783,Others
2785,New England
2789,Others
2791,Others
2795,Others
2797,Others
2805,Others
2811,Pacific Northwest
2813,Others
2815,Others
2819,Chesapeake
2823,Others
2825,Others
2826,Others
2827,Others
2830,Others
2832,Michigan
2834,Michigan
2836,New England
2839,Others
2840,Others
2844,Others
2846,Others
2847,Others
2848,Others
2849,Chesapeake
2851,Michigan
2852,Ontario
2853,Others
2854,Others
2855,Others
2856,Others
2861,Others
2867,Indiana
2869,Others
2872,Others
2874,Others
2875,Others
2876,New England
2877,New England
2879,Others
2881,Others
2882,Others
2883,Others
2890,Chesapeake
2895,Others
2896,Others
2897,Others
