teamNum,matchNum,color
25,1,Red
2590,1,Red
6226,1,Red
1640,1,Blue
1218,1,Blue
1647,1,Blue
25,2,Red
2590,2,Red
6226,2,Red
1640,2,Blue
1218,2,Blue
1647,2,Blue
25,3,Red
2590,3,Red
6226,3,Red
1640,3,Blue
1218,3,Blue
1647,3,Blue
25,1,Red
2590,1,Red
6226,1,Red
203,1,Blue
5401,1,Blue
2539,1,Blue
25,2,Red
2590,2,Red
6226,2,Red
203,2,Blue
5401,2,Blue
2539,2,Blue
103,1,Red
5404,1,Red
816,1,Red
219,1,Blue
1257,1,Blue
5181,1,Blue
103,2,Red
5404,2,Red
816,2,Red
219,2,Blue
1257,2,Blue
5181,2,Blue
1640,1,Red
1218,1,Red
1647,1,Red
2577,1,Blue
1791,1,Blue
1143,1,Blue
1640,2,Red
1218,2,Red
1647,2,Red
2577,2,Blue
1791,2,Blue
1143,2,Blue
5407,1,Red
1391,1,Red
2559,1,Red
708,1,Blue
1807,1,Blue
6808,1,Blue
5407,2,Red
1391,2,Red
2559,2,Red
708,2,Blue
1807,2,Blue
6808,2,Blue
1218,1,Red
5404,1,Red
103,1,Red
5490,1,Blue
2458,1,Blue
2577,1,Blue
6943,10,Red
2559,10,Red
5404,10,Red
708,10,Blue
6226,10,Blue
1640,10,Blue
1791,11,Red
5490,11,Red
5457,11,Red
4285,11,Blue
219,11,Blue
1257,11,Blue
5401,12,Red
2539,12,Red
2590,12,Red
6327,12,Blue
103,12,Blue
6226,12,Blue
1640,13,Red
1811,13,Red
203,13,Red
708,13,Blue
2458,13,Blue
1218,13,Blue
5407,14,Red
2577,14,Red
6943,14,Red
5181,14,Blue
1647,14,Blue
6808,14,Blue
25,15,Red
1791,15,Red
4454,15,Red
1257,15,Blue
1143,15,Blue
5404,15,Blue
1391,16,Red
5490,16,Red
2559,16,Red
219,16,Blue
816,16,Blue
1807,16,Blue
1143,17,Red
2539,17,Red
6808,17,Red
1791,17,Blue
2577,17,Blue
5407,17,Blue
1807,18,Red
203,18,Red
708,18,Red
6226,18,Blue
1391,18,Blue
4285,18,Blue
5490,19,Red
4454,19,Red
5401,19,Red
5457,19,Blue
6943,19,Blue
219,19,Blue
25,2,Red
6226,2,Red
203,2,Red
1811,2,Blue
2590,2,Blue
5407,2,Blue
2590,20,Red
5181,20,Red
5404,20,Red
1640,20,Blue
2458,20,Blue
1647,20,Blue
816,21,Red
2559,21,Red
6327,21,Red
1811,21,Blue
1257,21,Blue
1218,21,Blue
103,22,Red
1791,22,Red
4285,22,Red
1807,22,Blue
25,22,Blue
6943,22,Blue
203,23,Red
1143,23,Red
816,23,Red
2590,23,Blue
2458,23,Blue
5490,23,Blue
1647,24,Red
5404,24,Red
4454,24,Red
103,24,Blue
2559,24,Blue
6808,24,Blue
2577,25,Red
1640,25,Red
1218,25,Red
5407,25,Blue
6226,25,Blue
5401,25,Blue
5181,26,Red
25,26,Red
5457,26,Red
1391,26,Blue
708,26,Blue
6327,26,Blue
1257,27,Red
219,27,Red
1640,27,Red
1811,27,Blue
2539,27,Blue
103,27,Blue
5404,28,Red
5490,28,Red
5407,28,Red
5401,28,Blue
5457,28,Blue
1807,28,Blue
6943,29,Red
816,29,Red
2539,29,Red
6808,29,Blue
4454,29,Blue
2458,29,Blue
6943,3,Red
6808,3,Red
1791,3,Red
4285,3,Blue
6327,3,Blue
5457,3,Blue
